hybrid_type,count
miRNA-mRNA,359903
mRNA-mRNA,209438
miRNA-pseudogene,81287
mRNA-pseudogene,55624
miRNA-miRNA,50527
pseudogene-pseudogene,27193
kshv_microRNA-mRNA,21749
miRNA-pr-tr,9561
miRNA-kshv_microRNA,7638
kshv_microRNA-pseudogene,6972
mRNA-pr-tr,5134
mRNA-tRNA,4366
miRNA-tRNA,3023
miRNA-miscRNA,2926
pseudogene-tRNA,2456
pr-tr-pr-tr,1980
mRNA-miscRNA,1700
miRNA-snRNA,1591
miRNA-snoRNA,1427
pr-tr-pseudogene,1273
miscRNA-pseudogene,1154
miRNA-lincRNA,1115
mRNA-snoRNA,807
lincRNA-mRNA,731
kshv_microRNA-pr-tr,633
pseudogene-snoRNA,585
mRNA-snRNA,577
kshv_microRNA-tRNA,404
kshv_microRNA-kshv_microRNA,392
pseudogene-snRNA,351
lincRNA-pseudogene,242
miscRNA-miscRNA,198
snoRNA-snoRNA,165
kshv_microRNA-miscRNA,154
tRNA-tRNA,129
kshv_microRNA-snRNA,128
pr-tr-tRNA,125
snRNA-snRNA,92
kshv_microRNA-lincRNA,83
kshv_microRNA-snoRNA,77
lincRNA-lincRNA,64
lincRNA-pr-tr,60
miscRNA-pr-tr,34
snRNA-snoRNA,25
snoRNA-tRNA,23
Ig-mRNA,18
pr-tr-snoRNA,18
miscRNA-snoRNA,15
miscRNA-tRNA,10
lincRNA-tRNA,9
miRNA-Ig,6
lincRNA-snoRNA,4
lincRNA-miscRNA,2
